trial,number,state,value,best_val_loss,crop_scale_min,random_erasing_prob,random_erasing_scale_max,color_jitter_strength,grayscale_prob,gaussian_blur_prob,solarization_prob,datetime_start,datetime_complete,run_dir
trial_0020,20,COMPLETE,2.8291640969423146,2.8291640969423146,0.7456256246066187,0.272903019354219,0.3076130207259027,0.3188622254879676,0.0780242380286119,0.916587035127982,0.1255004564984294,2026-05-29 23:31:29.815229,2026-05-30 03:53:26.674798,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0020
trial_0021,21,PRUNED,3.3395896196365356,3.3395896196365356,0.749768522844642,0.27370979386747507,0.4486563237961018,0.31219758938664754,0.13764236145007985,0.9015730354137957,0.12948198849757803,2026-05-30 03:53:26.815234,2026-05-30 05:20:48.795677,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0021
trial_0022,22,COMPLETE,2.8348987478476304,2.8348987478476304,0.7160885855228186,0.24489277976470653,0.2924604204843825,0.44127989536918716,0.0693227668289313,0.9232290941554502,0.0961498050148561,2026-05-30 05:20:49.297615,2026-05-30 09:42:46.445676,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0022
trial_0023,23,PRUNED,3.0552736630806554,3.0552736630806554,0.7193525528595527,0.25140954097344187,0.3082176074710883,0.3175077460103225,0.08191879490397537,0.8858490080673328,0.09397762372880483,2026-05-30 09:42:46.624985,2026-05-30 12:01:27.247267,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0023
trial_0024,24,PRUNED,3.359629467817453,3.359629467817453,0.7144358798554631,0.31904872128787576,0.34118260063278255,0.42250496506765783,0.07968564899903918,0.7078060069769485,0.13097136427828085,2026-05-30 12:01:27.774428,2026-05-30 13:09:35.133939,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0024
trial_0025,25,PRUNED,3.3467938056358926,3.3467938056358926,0.6855426785198342,0.39076705424944386,0.28944451343249494,0.3592564209398992,0.12237197719343373,0.9927884149340305,0.08973732813464921,2026-05-30 13:09:35.610973,2026-05-30 14:20:18.899768,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0025
trial_0026,26,PRUNED,3.189017708484943,3.189017708484943,0.7333509858719968,0.2528355205298705,0.3174537085688176,0.4597581744228751,0.033231849145818414,0.8247772038021559,0.11966591940590696,2026-05-30 14:20:19.358583,2026-05-30 16:03:34.926140,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0026
trial_0027,27,PRUNED,3.3656996525250946,3.3656996525250946,0.663745623584495,0.2470920786594883,0.4094801519680585,0.2698166329605969,0.07243639650979702,0.914206965530395,0.09949392905549713,2026-05-30 16:03:35.410757,2026-05-30 17:13:04.124055,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0027
trial_0028,28,PRUNED,3.3902490083987895,3.3902490083987895,0.6959891748124998,0.2965808931654277,0.3598730920156896,0.39633672140372045,0.09504741918282877,0.5689414046156097,0.06161137174009014,2026-05-30 17:13:04.596978,2026-05-30 18:19:51.906907,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0028
trial_0029,29,PRUNED,3.294342715923603,3.294342715923603,0.7213649681250506,0.3830630911985582,0.2824777052660241,0.33920942690154954,0.0651544660837445,0.7401957319683966,0.1366855639010188,2026-05-30 18:19:52.474494,2026-05-30 19:55:31.559183,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0029
trial_0030,30,PRUNED,3.593861064544091,3.593861064544091,0.5364739734121665,0.5534164643549822,0.24870136856820374,0.4395545161229144,0.030855231279943288,0.8404145122149991,0.12037892698940025,2026-05-30 19:55:32.071937,2026-05-30 21:07:15.998209,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0030
trial_0031,31,COMPLETE,2.803761560183305,2.803761560183305,0.7499218311989673,0.23367254179678665,0.3048898462644657,0.28118924588651883,0.16459598365593983,0.2002096898437707,0.00330065054446696,2026-05-30 21:07:16.525370,2026-05-31 01:07:10.421027,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0031
trial_0032,32,COMPLETE,2.8091937945439267,2.8091937945439267,0.7413706107310618,0.23171792003354713,0.3030072452123942,0.2742271810359628,0.168140286480308,0.4862083487227354,0.007989814950613607,2026-05-31 01:07:10.569915,2026-05-31 05:14:24.676020,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0032
trial_0033,33,COMPLETE,2.783912014961243,2.783912014961243,0.7424224630239804,0.20185074599413957,0.32639400343598096,0.26634143803668603,0.16821876157168242,0.4616065211703595,0.001081966270590434,2026-05-31 05:14:24.864982,2026-05-31 09:20:20.799185,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0033
trial_0034,34,FAIL,,,0.6997350325471705,0.2030237764076593,0.3763638583984218,0.1737506298047401,0.16995955400667154,0.4717843940131817,0.0027911877461602496,2026-05-31 09:20:20.957087,2026-05-31 09:27:47.227014,F:\Room_8_Data\SIMCLR\experiments\3_AUGMENTATION_OPTUNA\trial_0034
